time files tags foundfiles numtags
0.012742 1524 1020 0 7
0.010328 1798 1025 0 3
0.011346 2249 1030 0 4
0.023513 2500 1034 0 2
0.029638 4128 1057 0 6
0.026172 4166 1059 0 5
0.025876 5121 1071 0 5
0.030212 5927 1082 0 4
0.051282 8776 1117 0 5
0.05605 9611 1134 0 6
0.063839 10099 1137 0 7
0.073066 12197 1162 0 4
0.074942 12415 1168 0 7
0.055777 15259 1221 0 5
0.155727 17530 1252 0 2
0.018983 17939 1256 0 2
0.039139 19341 1274 0 6
0.007599 19840 1283 0 7
0.009818 20139 1288 0 6
0.107839 23035 1328 0 2
0.103283 26418 1382 0 4
0.008491 26559 1384 0 3
0.127897 27042 1393 0 3
0.031029 29114 1431 0 2
0.192015 29762 1442 2 2
0.021137 31137 1457 0 8
0.143271 31163 1458 1 2
0.081954 33450 1487 0 6
0.299104 33763 1489 1 2
0.014995 34251 1497 0 9
0.1159 35249 1512 0 6
0.05877 36165 1524 221 1
0.085117 37240 1535 0 5
0.387947 38542 1549 0 3
0.152241 41255 1586 0 4
0.21817 41320 1587 0 4
0.040847 43553 1621 0 9
0.122169 44193 1626 0 4
0.117135 44337 1628 0 7
0.022632 44391 1630 0 12
0.07905 44533 1631 0 5
0.042639 46306 1662 0 9
0.135406 48740 1693 0 5
0.070426 48745 1694 2 2
0.080816 55072 1778 0 2
0.030171 55235 1783 81 1
0.087429 57448 1803 348 1
0.080828 60048 1839 334 1
0.101058 61280 1858 0 5
0.115187 62549 1879 382 1
0.041444 65208 1919 0 4
0.041953 65336 1921 131 1
0.097458 65695 1928 1 2
0.190515 66450 1943 1 2
0.057932 67145 1951 216 1
0.066871 69114 1975 0 5
0.208578 72682 2031 0 5
0.099197 73085 2038 0 6
0.306918 73130 2039 0 5
0.110377 73462 2045 0 4
0.096903 75223 2066 330 1
0.004974 78412 2114 0 2
0.041481 78858 2121 0 7
0.028509 79436 2133 0 6
0.387625 80017 2140 0 2
0.069106 80533 2154 0 2
0.059974 80687 2157 0 8
